20/01/2017;450;A;PYG;0,00055640;0,00055680;5732,13000000;5735,43000000
20/01/2017;460;A;UAH;0,11650000;0,11670000;27,35000000;27,40000000
20/01/2017;470;A;JPY;0,02770000;0,02771000;115,18000000;115,22000000
20/01/2017;482;A;GEL;1,18630000;1,20450000;2,65000000;2,69000000
20/01/2017;490;A;ALL;0,02479000;0,02494000;128,00000000;128,72000000
20/01/2017;495;A;HNL;0,13510000;0,13510000;23,61900000;23,61900000
20/01/2017;500;A;SLL;0,00042860;0,00043460;7345,00000000;7445,00000000
20/01/2017;503;A;MDL;0,15850000;0,15930000;20,04000000;20,14000000
20/01/2017;506;A;RON;0,75580000;0,75690000;4,21700000;4,22210000
20/01/2017;510;A;BGN;1,73820000;1,73940000;1,83500000;1,83590000
20/01/2017;530;B;GIP;3,94370000;3,94630000;1,23580000;1,23640000
20/01/2017;535;A;EGP;0,16880000;0,17000000;18,78000000;18,90000000
20/01/2017;540;B;GBP;3,92610000;3,92720000;1,23030000;1,23040000
20/01/2017;545;B;FKP;3,94270000;3,94670000;1,23550000;1,23650000
20/01/2017;560;A;LBP;0,00211300;0,00212000;1505,40000000;1510,40000000
20/01/2017;570;B;SHP;3,92360000;3,93070000;1,22950000;1,23150000
20/01/2017;575;A;SYP;0,00618900;0,00619800;515,00000000;515,60000000
20/01/2017;585;A;SZL;0,23490000;0,23510000;13,57600000;13,58400000
20/01/2017;603;A;LSL;0,23480000;0,23520000;13,57000000;13,59000000
20/01/2017;608;A;TMT;0,91200000;0,91480000;3,48900000;3,49900000
20/01/2017;622;A;MZN;0,04461000;0,04551000;70,13000000;71,53000000
20/01/2017;625;A;ERN;0,20200000;0,20860000;15,30000000;15,80000000
20/01/2017;630;A;NGN;0,01013000;0,01015000;314,50000000;315,00000000
20/01/2017;635;A;AOA;0,01917000;0,01933000;165,08000000;166,43000000
20/01/2017;640;A;TWD;0,10090000;0,10100000;31,58700000;31,61700000
20/01/2017;642;A;TRY;0,83710000;0,83780000;3,80980000;3,81220000
20/01/2017;660;A;PEN;0,96500000;0,96600000;3,30400000;3,30700000
20/01/2017;665;A;BTN;0,04681000;0,04682000;68,16500000;68,17500000
20/01/2017;670;A;MRO;0,00881600;0,00896600;356,00000000;362,00000000
